1,000001.sz,20210116233100
2,000002.sz,20210116233100
3,000001.sz,20210116233100
4,000002.sz,20210116233100
5,000001.sz,20210116233300
6,000003.sz,20210116233300
7,000003.sz,20210116233401
8,000001.sz,20210116233501
9,000002.sz,20210116233601
10,000001.sz,20210116233701
11,000003.sz,20210116233801
12,000002.sz,20210116233901
13,000002.sz,20210116233930
14,000001.sz,20210116234001
15,000001.sz,20210116234101
16,000003.sz,20210116234201
17,000003.sz,20210116234301
18,000002.sz,20210116235501
18,000002.sz,20210116235730
