1,000001.sz,20210116233100
2,000002.sz,20210116233100
3,000001.sz,20210116233100
4,000002.sz,20210116233100
5,000001.sz,20210116233100
6,000003.sz,20210116233100
7,000003.sz,20210116233100
8,000001.sz,20210116233100
9,000002.sz,20210116233100
10,000001.sz,20210116233100
11,000003.sz,20210116233100
12,000002.sz,20210116233100
13,000002.sz,20210116233100
14,000001.sz,20210116233100
15,000001.sz,20210116233100
16,000003.sz,20210116233100
17,000003.sz,20210116233100
18,000002.sz,20210116233100
18,000002.sz,20210116235730
